# Quat (xyzw) is -0.453478085485 0.747554224394 0.326582285891 0.358976765428
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1228480757 2018-12-10 12:38:59  25.50   84.8   99.1  112.3  122.3  117.6  116.6  110.8  101.6  29.7  80.3  11307 1463.028
1228484357 2018-12-10 13:38:59  25.54   83.5   97.9  111.4  122.0  117.0  116.0  110.4  101.3  29.2  79.6  11309 1463.070
1228487957 2018-12-10 14:38:59  25.58   82.1   96.7  110.6  121.7  116.4  115.5  109.9  101.1  28.6  78.9  11311 1463.111
1228491557 2018-12-10 15:38:59  25.62   80.7   95.5  109.7  121.3  115.9  114.9  109.5  100.8  28.0  78.2  11313 1463.153
1228495157 2018-12-10 16:38:59  25.67   79.2   94.2  108.8  121.0  115.3  114.3  109.0  100.6  27.5  77.5  11315 1463.195
1228498757 2018-12-10 17:38:59  25.71   77.6   92.9  107.8  120.5  114.7  113.7  108.5  100.3  26.9  76.8  11317 1463.236
1228502357 2018-12-10 18:38:59  25.75   76.0   91.4  106.7  120.1  114.1  113.2  108.0  100.0  26.3  76.0  11319 1463.278
1228505957 2018-12-10 19:38:59  25.79   74.3   90.0  105.6  119.5  113.5  112.6  107.6   99.6  25.7  75.3  11321 1463.320
1228509557 2018-12-10 20:38:59  25.83   72.5   88.4  104.5  119.0  112.9  111.9  107.0   99.3  25.1  74.5  11323 1463.361
1228513157 2018-12-10 21:38:59  25.87   70.6   86.8  103.2  118.3  112.4  111.3  106.5   98.9  24.5  73.7  11325 1463.403
1228516757 2018-12-10 22:38:59  25.92   68.7   85.1  101.9  117.6  111.8  110.7  106.0   98.6  23.9  72.9  11327 1463.445
1228520357 2018-12-10 23:38:59  25.96   66.6   83.3  100.6  116.9  111.2  110.1  105.4   98.2  23.3  72.1  11329 1463.486
1228523957 2018-12-11 00:38:59  26.00   64.5   81.4   99.1  116.0  110.6  109.5  104.9   97.8  22.7  71.2  11331 1463.528
1228527557 2018-12-11 01:38:59  26.04   62.2   79.4   97.6  115.1  110.1  108.8  104.3   97.3  22.1  70.4  11333 1463.570
1228531157 2018-12-11 02:38:59  26.08   59.8   77.4   95.9  114.1  109.5  108.2  103.7   96.9  21.5  69.5  11335 1463.611
1228534757 2018-12-11 03:38:59  26.12   57.2   75.2   94.2  112.9  108.9  107.5  103.1   96.4  20.9  68.6  11337 1463.653
1228538357 2018-12-11 04:38:59  26.17   54.5   72.8   92.3  111.7  108.4  106.9  102.4   95.9  20.3  67.7  11339 1463.695
1228541957 2018-12-11 05:38:59  26.21   51.7   70.4   90.4  110.3  107.9  106.2  101.8   95.4  19.7  66.8  11341 1463.736
1228545557 2018-12-11 06:38:59  26.25   48.7   67.8   88.3  108.8  107.3  105.6  101.1   94.8  19.1  65.9  11343 1463.778
1228549157 2018-12-11 07:38:59  26.29   45.5   65.1   86.0  107.2  106.8  104.9  100.5   94.2  18.5  65.0  11345 1463.820
1228552757 2018-12-11 08:38:59  26.33   42.1   62.2   83.7  105.4  106.4  104.3   99.8   93.6  17.9  64.1  11347 1463.861
1228556357 2018-12-11 09:38:59  26.37   38.6   59.2   81.2  103.4  105.9  103.7   99.1   92.9  17.4  63.1  11349 1463.903
1228559957 2018-12-11 10:38:59  26.42   34.8   56.1   78.5  101.2  105.5  103.1   98.4   92.3  16.8  62.2  11351 1463.945
1228563557 2018-12-11 11:38:59  26.46   30.9   52.8   75.8   98.9  105.2  102.5   97.6   91.5  16.3  61.2  11353 1463.986
1228567157 2018-12-11 12:38:59  26.50   26.9   49.5   72.9   96.4  104.9  101.9   96.9   90.8  15.8  60.3  11355 1464.028
1228570757 2018-12-11 13:38:59  26.54   22.8   46.1   69.8   93.6  104.6  101.4   96.2   90.0  15.3  59.3  11357 1464.070
1228574357 2018-12-11 14:38:59  26.58   19.0   42.8   66.7   90.7  104.4  100.9   95.5   89.2  14.9  58.4  11359 1464.111
1228577957 2018-12-11 15:38:59  26.62   15.7   39.6   63.6   87.6  104.3  100.4   94.7   88.3  14.5  57.5  11361 1464.153
1228581557 2018-12-11 16:38:59  26.67   13.8   36.8   60.5   84.4  104.2  100.0   94.1   87.5  14.1  56.7  11363 1464.195
1228585157 2018-12-11 17:38:59  26.71   14.3   34.5   57.6   81.0  104.3   99.6   93.4   86.6  13.8  55.9  11365 1464.236
1228588757 2018-12-11 18:38:59  26.75   17.2   33.1   54.9   77.6  104.4   99.4   92.8   85.7  13.6  55.1  11367 1464.278
1228592357 2018-12-11 19:38:59  26.79   21.8   32.7   52.5   74.3  104.6   99.2   92.2   84.8  13.4  54.5  11369 1464.320
1228595957 2018-12-11 20:38:59  26.83   27.2   33.4   50.6   71.0  105.0   99.0   91.6   84.0  13.3  53.9  11371 1464.361
