start_time,median_flux
1325.75617539, 147.29512024
1325.75756425, 146.52679443
1325.75895312, 146.97877502
1325.76034198, 147.71188354
1325.76173085, 146.89031982
1325.76311971, 145.97525024
1325.76450858, 146.59857178
1325.76589744, 147.10916138
1325.76728631, 148.01364136
1325.76867517, 148.14472961
1325.77006404, 147.88499451
1325.77145290, 147.59875488
1325.77284177, 148.01754761
1325.77423064, 148.52606201
1325.77561950, 147.77717590
1325.77700837, 147.54606628
1325.77839723, 147.66929626
1325.77978610, 148.48426819
1325.78117496, 148.65293884
1325.78256383, 149.40417480
1325.78395269, 149.78463745
1325.78534156, 149.58026123
1325.78673042, 149.28242493
1325.78811929, 149.97358704
1325.78950815, 150.20732117
1325.79089702, 150.20629883
1325.79228588, 148.90040588
1325.79367475, 150.16699219
1325.79506361, 150.19224548
1325.79645248, 150.64343262
1325.79784134, 150.65689087
1325.79923021, 151.02799988
1325.80061907, 149.75781250
1325.80200794, 150.13243103
1325.80339680, 151.26484680
1325.80478567, 151.07272339
1325.80617454, 150.19935608
1325.80756340, 150.37808228
1325.80895227, 151.00712585
1325.81034113, 151.40476990
1325.81173000, 150.81202698
1325.81311886, 151.65858459
1325.81450773, 150.84259033
1325.81589659, 152.00738525
1325.81728546, 151.89553833
1325.81867432, 151.70089722
1325.82006319, 151.18589783
1325.82145205, 151.67439270
1325.82284092, 152.34402466
1325.82422978, 152.15046692
1325.82561865, 152.30842590
1325.82700752, 152.49635315
1325.82839638, 151.91567993
1325.82978525, 152.90647888
1325.83117411, 152.48068237
1325.83256298, 152.60704041
1325.83395184, 152.10406494
1325.83534071, 152.42572021
1325.83672957, 153.06695557
1325.83811844, 152.73637390
1325.83950730, 152.79716492
1325.84089617, 151.65859985
1325.84228503, 152.02735901
1325.84367390, 152.66746521
1325.84506277, 152.29182434
1325.84645163, 153.00607300
1325.84784050, 152.78923035
1325.84922936, 152.90689087
1325.85061823, 152.84960938
1325.85200709, 153.09144592
1325.85339596, 153.12672424
1325.85478482, 153.14225769
1325.85617369, 152.86341858
1325.85756255, 152.16604614
1325.85895142, 151.93696594
1325.86034029, 152.66053772
1325.86172915, 152.14880371
1325.86311802, 152.38127136
1325.86450688, 152.38403320
1325.86589575, 152.19187927
1325.86728461, 152.78710938
1325.86867348, 152.14048767
1325.87006234, 152.15814209
1325.87145121, 152.12252808
1325.87284007, 151.79869080
1325.87422894, 152.01881409
1325.87561781, 151.63758850
1325.87700667, 151.81434631
1325.87839554, 151.30664062
1325.87978440, 151.24571228
1325.88117327, 151.07249451
1325.88256213, 151.09757996
1325.88395100, 150.60556030
1325.88533986, 150.26345825
1325.88672873, 151.00704956
1325.88811760, 149.65788269
1325.88950646, 149.45988464
1325.89089533, 149.62484741
1325.89228419, 149.49723816
1325.89367306, 149.32681274
1325.89506192, 150.01577759
1325.89645079, 150.25384521
1325.89783965, 150.02555847
1325.89922852, 150.13934326
1325.90061739, 149.80618286
1325.90200625, 149.87611389
1325.90339512, 149.73823547
1325.90478398, 149.55459595
1325.90617285, 149.35447693
1325.90756171, 149.71046448
1325.90895058, 149.54647827
1325.91033945, 149.46533203
1325.91172831, 149.18051147
1325.91311718, 149.08288574
1325.91450604, 149.40464783
1325.91589491, 149.32254028
1325.91728377, 149.08087158
1325.91867264, 149.04798889
1325.92006151, 148.67697144
1325.92145037, 148.77296448
1325.92283924, 148.37977600
1325.92422810, 149.14038086
1325.92561697, 148.81141663
1325.92700583, 148.92955017
1325.92839470, 148.83607483
1325.92978356, 148.61119080
1325.93117243, 148.64628601
1325.93256130, 148.88471985
1325.93395016, 148.77902222
1325.93533903, 148.53105164
1325.93672789, 148.30950928
1325.93811676, 148.49722290
1325.93950562, 148.46076965
1325.94089449, 148.55671692
1325.94228336, 148.06375122
1325.94367222, 148.32797241
1325.94506109, 148.47442627
1325.94644995, 148.15332031
1325.94783882, 148.41229248
1325.94922769, 148.34704590
1325.95061655, 148.18132019
1325.95200542, 148.20849609
1325.95339428, 148.16714478
1325.95478315, 147.86125183
1325.95617201, 148.07518005
1325.95756088, 148.14564514
1325.95894975, 148.05474854
1325.96033861, 148.20935059
1325.96172748, 148.50767517
1325.96311634, 148.43251038
1325.96450521, 148.29008484
1325.96589407, 148.26948547
1325.96728294, 148.13648987
1325.96867181, 148.36654663
1325.97006067, 148.37786865
1325.97144954, 148.35565186
1325.97283840, 148.17694092
1325.97422727, 148.27491760
1325.97561614, 148.43156433
1325.97700500, 148.31596375
1325.97839387, 148.31443787
1325.97978273, 148.13021851
1325.98117160, 148.59982300
1325.98256046, 148.53575134
1325.98394933, 148.71530151
1325.98533820, 148.63241577
1325.98672706, 148.58361816
1325.98811593, 148.58432007
1325.98950479, 148.79495239
1325.99089366, 148.73744202
1325.99228253, 148.86505127
1325.99367139, 148.71371460
1325.99506026, 148.77050781
1325.99644912, 148.96537781
1325.99783799, 149.15730286
1325.99922685, 148.85601807
1326.00061572, 149.01853943
1326.00200459, 149.35179138
1326.00339345, 149.14517212
1326.00478232, 149.32806396
1326.00617118, 149.59834290
1326.00756005, 149.47029114
1326.00894892, 149.84837341
1326.01033778, 149.94796753
1326.01172665, 149.97880554
1326.01311551, 150.11938477
1326.01450438, 150.21458435
1326.01589325, 150.30929565
1326.01728211, 150.43673706
1326.01867098, 150.54077148
1326.02005984, 150.64562988
1326.02144871, 150.34301758
1326.02283758, 150.83868408
1326.02422644, 150.98962402
1326.02561531, 151.15084839
1326.02700417, 151.05751038
1326.02839304, 151.41677856
1326.02978191, 151.33409119
1326.03117077, 151.28054810
1326.03255964, 151.32080078
1326.03394850, 151.18104553
1326.03533737, 151.32365417
1326.03672624, 151.21206665
1326.03811510, 151.07192993
1326.03950397, 151.00596619
1326.04089283, 150.92504883
1326.04228170, 151.13233948
1326.04367057, 151.04687500
1326.04505943, 151.01722717
1326.04644830, 151.07228088
1326.04783716, 150.94941711
1326.04922603, 150.97633362
1326.05061490, 150.96496582
1326.05200376, 150.97654724
1326.05339263, 151.37399292
