# Quat (xyzw) is -0.408387784782 -0.886471585572 -0.0651625432427 -0.207705050907
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1217973677 2018-08-10 22:00:59  16.71   77.3   76.8   78.6   82.4  139.9  124.3  105.4   85.5  38.2  58.6   5470 1341.418
1217977277 2018-08-10 23:00:59  16.75   76.8   76.6   78.8   82.9  139.2  124.1  105.5   85.8  38.6  58.7   5472 1341.460
1217980877 2018-08-11 00:00:59  16.79   76.2   76.3   78.9   83.3  138.5  123.8  105.6   86.2  39.0  58.8   5474 1341.502
1217984477 2018-08-11 01:00:59  16.83   75.6   76.1   79.0   83.8  137.8  123.6  105.6   86.5  39.4  58.8   5476 1341.543
1217988077 2018-08-11 02:00:59  16.87   75.1   75.9   79.2   84.3  137.1  123.3  105.7   86.8  39.8  58.9   5478 1341.585
1217991677 2018-08-11 03:00:59  16.92   74.5   75.7   79.3   84.7  136.4  123.0  105.7   87.1  40.2  59.0   5480 1341.627
1217995277 2018-08-11 04:00:59  16.96   74.0   75.4   79.4   85.2  135.7  122.7  105.8   87.5  40.5  59.2   5482 1341.668
1217998877 2018-08-11 05:00:59  17.00   73.5   75.2   79.5   85.6  135.0  122.4  105.8   87.8  40.9  59.3   5484 1341.710
1218002477 2018-08-11 06:00:59  17.04   73.0   75.0   79.7   86.0  134.3  122.1  105.9   88.1  41.3  59.4   5486 1341.752
1218006077 2018-08-11 07:00:59  17.08   72.5   74.8   79.8   86.5  133.6  121.8  105.9   88.5  41.6  59.6   5488 1341.793
1218009677 2018-08-11 08:00:59  17.12   72.0   74.6   79.9   86.9  132.9  121.5  105.9   88.8  42.0  59.7   5490 1341.835
1218013277 2018-08-11 09:00:59  17.17   71.5   74.5   80.1   87.3  132.2  121.2  106.0   89.1  42.4  59.9   5492 1341.877
1218016877 2018-08-11 10:00:59  17.21   71.1   74.3   80.2   87.7  131.5  120.9  106.0   89.4  42.7  60.0   5494 1341.918
1218020477 2018-08-11 11:00:59  17.25   70.6   74.1   80.3   88.1  130.8  120.6  106.0   89.8  43.1  60.2   5496 1341.960
1218024077 2018-08-11 12:00:59  17.29   70.2   74.0   80.4   88.5  130.1  120.2  106.0   90.1  43.4  60.4   5498 1342.002
1218027677 2018-08-11 13:00:59  17.33   69.7   73.8   80.6   88.8  129.4  119.9  106.1   90.4  43.7  60.6   5500 1342.043
1218031277 2018-08-11 14:00:59  17.37   69.3   73.6   80.7   89.2  128.7  119.6  106.1   90.7  44.1  60.8   5502 1342.085
1218034877 2018-08-11 15:00:59  17.42   68.9   73.5   80.8   89.6  128.0  119.2  106.1   91.0  44.4  61.0   5504 1342.127
1218038477 2018-08-11 16:00:59  17.46   68.5   73.3   80.9   90.0  127.3  118.9  106.1   91.4  44.7  61.2   5506 1342.168
1218042077 2018-08-11 17:00:59  17.50   68.1   73.2   81.1   90.3  126.6  118.6  106.1   91.7  45.1  61.4   5508 1342.210
1218045677 2018-08-11 18:00:59  17.54   67.7   73.1   81.2   90.7  125.9  118.2  106.1   92.0  45.4  61.7   5510 1342.252
1218049277 2018-08-11 19:00:59  17.58   67.3   72.9   81.3   91.0  125.2  117.9  106.1   92.3  45.7  61.9   5512 1342.293
1218052877 2018-08-11 20:00:59  17.62   66.9   72.8   81.4   91.4  124.5  117.5  106.1   92.6  46.0  62.1   5514 1342.335
1218056477 2018-08-11 21:00:59  17.67   66.6   72.7   81.6   91.7  123.9  117.2  106.1   92.9  46.3  62.4   5516 1342.377
1218060077 2018-08-11 22:00:59  17.71   66.2   72.5   81.7   92.1  123.2  116.8  106.1   93.2  46.6  62.6   5518 1342.418
1218063677 2018-08-11 23:00:59  17.75   65.8   72.4   81.8   92.4  122.5  116.5  106.1   93.5  46.9  62.9   5520 1342.460
1218067277 2018-08-12 00:00:59  17.79   65.5   72.3   81.9   92.7  121.9  116.2  106.1   93.8  47.2  63.2   5522 1342.502
1218070877 2018-08-12 01:00:59  17.83   65.1   72.2   82.0   93.0  121.2  115.8  106.1   94.1  47.5  63.4   5524 1342.543
1218074477 2018-08-12 02:00:59  17.87   64.8   72.1   82.2   93.4  120.6  115.5  106.1   94.3  47.8  63.7   5526 1342.585
1218078077 2018-08-12 03:00:59  17.92   64.5   72.0   82.3   93.7  119.9  115.1  106.0   94.6  48.1  64.0   5528 1342.627
1218081677 2018-08-12 04:00:59  17.96   64.1   71.9   82.4   94.0  119.3  114.8  106.0   94.9  48.4  64.3   5530 1342.668
1218085277 2018-08-12 05:00:59  18.00   63.8   71.8   82.5   94.3  118.7  114.4  106.0   95.2  48.7  64.5   5532 1342.710
1218088877 2018-08-12 06:00:59  18.04   63.5   71.7   82.6   94.6  118.1  114.1  106.0   95.4  49.0  64.8   5534 1342.752
1218092477 2018-08-12 07:00:59  18.08   63.2   71.6   82.7   94.9  117.4  113.7  106.0   95.7  49.2  65.1   5536 1342.793
1218096077 2018-08-12 08:00:59  18.12   62.9   71.5   82.9   95.2  116.8  113.4  105.9   96.0  49.5  65.4   5538 1342.835
1218099677 2018-08-12 09:00:59  18.17   62.6   71.4   83.0   95.5  116.2  113.1  105.9   96.2  49.8  65.7   5540 1342.877
1218103277 2018-08-12 10:00:59  18.21   62.3   71.3   83.1   95.8  115.6  112.7  105.9   96.5  50.0  66.0   5542 1342.918
1218106877 2018-08-12 11:00:59  18.25   62.0   71.2   83.2   96.1  115.0  112.4  105.8   96.8  50.3  66.3   5544 1342.960
1218110477 2018-08-12 12:00:59  18.29   61.7   71.1   83.3   96.3  114.4  112.0  105.8   97.0  50.5  66.6   5546 1343.002
1218114077 2018-08-12 13:00:59  18.33   61.4   71.1   83.4   96.6  113.8  111.7  105.7   97.2  50.8  66.9   5548 1343.043
1218117677 2018-08-12 14:00:59  18.37   61.1   71.0   83.5   96.9  113.2  111.4  105.7   97.5  51.0  67.2   5550 1343.085
1218121277 2018-08-12 15:00:59  18.42   60.9   70.9   83.6   97.2  112.7  111.0  105.7   97.7  51.3  67.5   5552 1343.127
1218124877 2018-08-12 16:00:59  18.46   60.6   70.8   83.8   97.4  112.1  110.7  105.6   98.0  51.5  67.8   5554 1343.168
1218128477 2018-08-12 17:00:59  18.50   60.3   70.8   83.9   97.7  111.5  110.4  105.6   98.2  51.8  68.2   5556 1343.210
1218132077 2018-08-12 18:00:59  18.54   60.1   70.7   84.0   98.0  111.0  110.0  105.5   98.4  52.0  68.5   5558 1343.252
1218135677 2018-08-12 19:00:59  18.58   59.8   70.6   84.1   98.2  110.4  109.7  105.5   98.7  52.2  68.8   5560 1343.293
1218139277 2018-08-12 20:00:59  18.62   59.5   70.6   84.2   98.5  109.9  109.4  105.4   98.9  52.5  69.1   5562 1343.335
1218142877 2018-08-12 21:00:59  18.67   59.3   70.5   84.3   98.8  109.3  109.0  105.4   99.1  52.7  69.4   5564 1343.377
1218146477 2018-08-12 22:00:59  18.71   59.1   70.4   84.4   99.0  108.8  108.7  105.3   99.3  52.9  69.7   5566 1343.418
1218150077 2018-08-12 23:00:59  18.75   58.8   70.4   84.5   99.3  108.2  108.4  105.3   99.5  53.1  70.1   5568 1343.460
1218153677 2018-08-13 00:00:59  18.79   58.6   70.3   84.6   99.5  107.7  108.1  105.2   99.8  53.3  70.4   5570 1343.502
1218157277 2018-08-13 01:00:59  18.83   58.3   70.3   84.7   99.8  107.2  107.8  105.2  100.0  53.5  70.7   5572 1343.543
1218160877 2018-08-13 02:00:59  18.87   58.1   70.2   84.8  100.0  106.7  107.4  105.1  100.2  53.7  71.0   5574 1343.585
1218164477 2018-08-13 03:00:59  18.92   57.9   70.2   84.9  100.2  106.2  107.1  105.0  100.4  53.9  71.4   5576 1343.627
1218168077 2018-08-13 04:00:59  18.96   57.7   70.1   85.0  100.5  105.6  106.8  105.0  100.6  54.1  71.7   5578 1343.668
1218171677 2018-08-13 05:00:59  19.00   57.4   70.1   85.1  100.7  105.1  106.5  104.9  100.8  54.3  72.0   5580 1343.710
1218175277 2018-08-13 06:00:59  19.04   57.2   70.0   85.2  101.0  104.6  106.2  104.9  101.0  54.5  72.3   5582 1343.752
1218178877 2018-08-13 07:00:59  19.08   57.0   70.0   85.3  101.2  104.1  105.9  104.8  101.1  54.7  72.6   5584 1343.793
1218182477 2018-08-13 08:00:59  19.12   56.8   69.9   85.4  101.4  103.6  105.6  104.7  101.3  54.9  73.0   5586 1343.835
1218186077 2018-08-13 09:00:59  19.17   56.6   69.9   85.5  101.6  103.1  105.3  104.7  101.5  55.1  73.3   5588 1343.877
1218189677 2018-08-13 10:00:59  19.21   56.4   69.8   85.6  101.9  102.7  105.0  104.6  101.7  55.3  73.6   5590 1343.918
1218193277 2018-08-13 11:00:59  19.25   56.2   69.8   85.7  102.1  102.2  104.7  104.5  101.9  55.5  73.9   5592 1343.960
1218196877 2018-08-13 12:00:59  19.29   56.0   69.8   85.8  102.3  101.7  104.4  104.5  102.1  55.6  74.3   5594 1344.002
1218200477 2018-08-13 13:00:59  19.33   55.8   69.7   85.9  102.5  101.2  104.1  104.4  102.2  55.8  74.6   5596 1344.043
1218204077 2018-08-13 14:00:59  19.37   55.6   69.7   86.0  102.8  100.8  103.8  104.3  102.4  56.0  74.9   5598 1344.085
1218207677 2018-08-13 15:00:59  19.42   55.4   69.7   86.1  103.0  100.3  103.5  104.3  102.6  56.1  75.2   5600 1344.127
1218211277 2018-08-13 16:00:59  19.46   55.2   69.6   86.2  103.2   99.8  103.2  104.2  102.7  56.3  75.5   5602 1344.168
1218214877 2018-08-13 17:00:59  19.50   55.0   69.6   86.3  103.4   99.4  102.9  104.1  102.9  56.4  75.8   5604 1344.210
1218218477 2018-08-13 18:00:59  19.54   54.9   69.6   86.4  103.6   98.9  102.6  104.1  103.1  56.6  76.1   5606 1344.252
1218222077 2018-08-13 19:00:59  19.58   54.7   69.5   86.5  103.8   98.5  102.3  104.0  103.2  56.7  76.5   5608 1344.293
1218225677 2018-08-13 20:00:59  19.62   54.5   69.5   86.6  104.0   98.0  102.0  103.9  103.4  56.9  76.8   5610 1344.335
1218229277 2018-08-13 21:00:59  19.67   54.3   69.5   86.7  104.2   97.6  101.7  103.8  103.5  57.0  77.1   5612 1344.377
1218232877 2018-08-13 22:00:59  19.71   54.2   69.5   86.8  104.4   97.1  101.4  103.8  103.7  57.2  77.4   5614 1344.418
1218236477 2018-08-13 23:00:59  19.75   54.0   69.4   86.9  104.7   96.7  101.2  103.7  103.8  57.3  77.7   5616 1344.460
1218240077 2018-08-14 00:00:59  19.79   53.8   69.4   87.0  104.9   96.3  100.9  103.6  104.0  57.4  78.0   5618 1344.502
1218243677 2018-08-14 01:00:59  19.83   53.7   69.4   87.1  105.1   95.8  100.6  103.5  104.1  57.6  78.3   5620 1344.543
1218247277 2018-08-14 02:00:59  19.87   53.5   69.4   87.2  105.3   95.4  100.3  103.5  104.3  57.7  78.6   5622 1344.585
1218250877 2018-08-14 03:00:59  19.92   53.4   69.4   87.3  105.5   95.0  100.0  103.4  104.4  57.8  78.9   5624 1344.627
1218254477 2018-08-14 04:00:59  19.96   53.2   69.3   87.4  105.7   94.6   99.8  103.3  104.6  57.9  79.2   5626 1344.668
1218258077 2018-08-14 05:00:59  20.00   53.0   69.3   87.5  105.8   94.1   99.5  103.2  104.7  58.1  79.5   5628 1344.710
1218261677 2018-08-14 06:00:59  20.04   52.9   69.3   87.6  106.0   93.7   99.2  103.2  104.8  58.2  79.8   5630 1344.752
1218265277 2018-08-14 07:00:59  20.08   52.7   69.3   87.7  106.2   93.3   99.0  103.1  105.0  58.3  80.1   5632 1344.793
1218268877 2018-08-14 08:00:59  20.12   52.6   69.3   87.8  106.4   92.9   98.7  103.0  105.1  58.4  80.4   5634 1344.835
1218272477 2018-08-14 09:00:59  20.17   52.5   69.3   87.9  106.6   92.5   98.4  102.9  105.2  58.5  80.6   5636 1344.877
1218276077 2018-08-14 10:00:59  20.21   52.3   69.3   88.0  106.8   92.1   98.2  102.9  105.3  58.6  80.9   5638 1344.918
1218279677 2018-08-14 11:00:59  20.25   52.2   69.3   88.1  107.0   91.7   97.9  102.8  105.5  58.7  81.2   5640 1344.960
1218283277 2018-08-14 12:00:59  20.29   52.0   69.2   88.1  107.2   91.3   97.6  102.7  105.6  58.8  81.5   5642 1345.002
1218286877 2018-08-14 13:00:59  20.33   51.9   69.2   88.2  107.4   90.9   97.4  102.6  105.7  58.9  81.7   5644 1345.043
1218290477 2018-08-14 14:00:59  20.37   51.8   69.2   88.3  107.5   90.5   97.1  102.5  105.8  59.0  82.0   5646 1345.085
1218294077 2018-08-14 15:00:59  20.42   51.6   69.2   88.4  107.7   90.1   96.8  102.4  105.9  59.1  82.3   5648 1345.127
1218297677 2018-08-14 16:00:59  20.46   51.5   69.2   88.5  107.9   89.7   96.6  102.4  106.1  59.2  82.6   5650 1345.168
1218301277 2018-08-14 17:00:59  20.50   51.4   69.2   88.6  108.1   89.3   96.3  102.3  106.2  59.2  82.8   5652 1345.210
1218304877 2018-08-14 18:00:59  20.54   51.3   69.2   88.7  108.3   89.0   96.1  102.2  106.3  59.3  83.1   5654 1345.252
1218308477 2018-08-14 19:00:59  20.58   51.1   69.2   88.8  108.4   88.6   95.8  102.1  106.4  59.4  83.3   5656 1345.293
1218312077 2018-08-14 20:00:59  20.62   51.0   69.2   88.9  108.6   88.2   95.6  102.0  106.5  59.5  83.6   5658 1345.335
1218315677 2018-08-14 21:00:59  20.67   50.9   69.2   89.0  108.8   87.8   95.3  102.0  106.6  59.5  83.8   5660 1345.377
1218319277 2018-08-14 22:00:59  20.71   50.8   69.2   89.1  109.0   87.4   95.1  101.9  106.7  59.6  84.1   5662 1345.418
1218322877 2018-08-14 23:00:59  20.75   50.7   69.2   89.2  109.1   87.1   94.8  101.8  106.8  59.7  84.3   5664 1345.460
1218326477 2018-08-15 00:00:59  20.79   50.6   69.2   89.2  109.3   86.7   94.6  101.7  106.9  59.7  84.6   5666 1345.502
1218330077 2018-08-15 01:00:59  20.83   50.5   69.2   89.3  109.5   86.3   94.3  101.6  107.0  59.8  84.8   5668 1345.543
1218333677 2018-08-15 02:00:59  20.87   50.3   69.2   89.4  109.7   86.0   94.1  101.5  107.1  59.8  85.1   5670 1345.585
1218337277 2018-08-15 03:00:59  20.92   50.2   69.2   89.5  109.8   85.6   93.8  101.5  107.2  59.9  85.3   5672 1345.627
1218340877 2018-08-15 04:00:59  20.96   50.1   69.2   89.6  110.0   85.2   93.6  101.4  107.3  59.9  85.5   5674 1345.668
1218344477 2018-08-15 05:00:59  21.00   50.0   69.2   89.7  110.2   84.9   93.3  101.3  107.4  60.0  85.8   5676 1345.710
1218348077 2018-08-15 06:00:59  21.04   49.9   69.2   89.8  110.3   84.5   93.1  101.2  107.5  60.0  86.0   5678 1345.752
1218351677 2018-08-15 07:00:59  21.08   49.8   69.3   89.9  110.5   84.1   92.8  101.1  107.6  60.1  86.2   5680 1345.793
1218355277 2018-08-15 08:00:59  21.12   49.7   69.3   90.0  110.7   83.8   92.6  101.0  107.7  60.1  86.4   5682 1345.835
1218358877 2018-08-15 09:00:59  21.17   49.7   69.3   90.1  110.8   83.4   92.4  100.9  107.8  60.1  86.6   5684 1345.877
1218362477 2018-08-15 10:00:59  21.21   49.6   69.3   90.1  111.0   83.1   92.1  100.9  107.9  60.2  86.8   5686 1345.918
1218366077 2018-08-15 11:00:59  21.25   49.5   69.3   90.2  111.1   82.7   91.9  100.8  108.0  60.2  87.0   5688 1345.960
1218369677 2018-08-15 12:00:59  21.29   49.4   69.3   90.3  111.3   82.4   91.7  100.7  108.1  60.2  87.3   5690 1346.002
1218373277 2018-08-15 13:00:59  21.33   49.3   69.3   90.4  111.5   82.0   91.4  100.6  108.1  60.3  87.4   5692 1346.043
1218376877 2018-08-15 14:00:59  21.37   49.2   69.3   90.5  111.6   81.7   91.2  100.5  108.2  60.3  87.6   5694 1346.085
1218380477 2018-08-15 15:00:59  21.42   49.1   69.4   90.6  111.8   81.3   91.0  100.4  108.3  60.3  87.8   5696 1346.127
1218384077 2018-08-15 16:00:59  21.46   49.1   69.4   90.7  111.9   81.0   90.7  100.3  108.4  60.3  88.0   5698 1346.168
1218387677 2018-08-15 17:00:59  21.50   49.0   69.4   90.8  112.1   80.7   90.5  100.3  108.5  60.3  88.2   5700 1346.210
1218391277 2018-08-15 18:00:59  21.54   48.9   69.4   90.8  112.3   80.3   90.3  100.2  108.5  60.3  88.4   5702 1346.252
1218394877 2018-08-15 19:00:59  21.58   48.8   69.4   90.9  112.4   80.0   90.0  100.1  108.6  60.3  88.6   5704 1346.293
1218398477 2018-08-15 20:00:59  21.62   48.8   69.4   91.0  112.6   79.6   89.8  100.0  108.7  60.3  88.7   5706 1346.335
1218402077 2018-08-15 21:00:59  21.67   48.7   69.5   91.1  112.7   79.3   89.6   99.9  108.8  60.3  88.9   5708 1346.377
1218405677 2018-08-15 22:00:59  21.71   48.6   69.5   91.2  112.9   79.0   89.3   99.8  108.8  60.3  89.1   5710 1346.418
1218409277 2018-08-15 23:00:59  21.75   48.6   69.5   91.3  113.0   78.6   89.1   99.7  108.9  60.3  89.2   5712 1346.460
1218412877 2018-08-16 00:00:59  21.79   48.5   69.5   91.4  113.2   78.3   88.9   99.6  109.0  60.3  89.4   5714 1346.502
1218416477 2018-08-16 01:00:59  21.83   48.4   69.6   91.5  113.3   78.0   88.7   99.5  109.1  60.3  89.6   5716 1346.543
1218420077 2018-08-16 02:00:59  21.87   48.4   69.6   91.6  113.5   77.6   88.4   99.5  109.1  60.3  89.7   5718 1346.585
1218423677 2018-08-16 03:00:59  21.92   48.3   69.6   91.6  113.6   77.3   88.2   99.4  109.2  60.2  89.8   5720 1346.627
1218427277 2018-08-16 04:00:59  21.96   48.3   69.6   91.7  113.8   77.0   88.0   99.3  109.3  60.2  90.0   5722 1346.668
1218430877 2018-08-16 05:00:59  22.00   48.2   69.7   91.8  113.9   76.6   87.8   99.2  109.3  60.2  90.1   5724 1346.710
1218434477 2018-08-16 06:00:59  22.04   48.1   69.7   91.9  114.1   76.3   87.5   99.1  109.4  60.2  90.3   5726 1346.752
1218438077 2018-08-16 07:00:59  22.08   48.1   69.7   92.0  114.2   76.0   87.3   99.0  109.4  60.1  90.4   5728 1346.793
1218441677 2018-08-16 08:00:59  22.12   48.0   69.8   92.1  114.4   75.7   87.1   98.9  109.5  60.1  90.5   5730 1346.835
1218445277 2018-08-16 09:00:59  22.17   48.0   69.8   92.2  114.5   75.3   86.9   98.8  109.6  60.1  90.6   5732 1346.877
1218448877 2018-08-16 10:00:59  22.21   48.0   69.8   92.3  114.6   75.0   86.7   98.7  109.6  60.0  90.8   5734 1346.918
1218452477 2018-08-16 11:00:59  22.25   47.9   69.9   92.3  114.8   74.7   86.4   98.7  109.7  60.0  90.9   5736 1346.960
1218456077 2018-08-16 12:00:59  22.29   47.9   69.9   92.4  114.9   74.4   86.2   98.6  109.7  59.9  91.0   5738 1347.002
1218459677 2018-08-16 13:00:59  22.33   47.8   69.9   92.5  115.1   74.1   86.0   98.5  109.8  59.9  91.1   5740 1347.043
1218463277 2018-08-16 14:00:59  22.37   47.8   70.0   92.6  115.2   73.7   85.8   98.4  109.9  59.8  91.2   5742 1347.085
1218466877 2018-08-16 15:00:59  22.42   47.8   70.0   92.7  115.3   73.4   85.6   98.3  109.9  59.8  91.3   5744 1347.127
1218470477 2018-08-16 16:00:59  22.46   47.7   70.0   92.8  115.5   73.1   85.4   98.2  110.0  59.7  91.4   5746 1347.168
1218474077 2018-08-16 17:00:59  22.50   47.7   70.1   92.9  115.6   72.8   85.1   98.1  110.0  59.7  91.5   5748 1347.210
1218477677 2018-08-16 18:00:59  22.54   47.7   70.1   93.0  115.8   72.5   84.9   98.0  110.1  59.6  91.5   5750 1347.252
1218481277 2018-08-16 19:00:59  22.58   47.7   70.2   93.1  115.9   72.2   84.7   97.9  110.1  59.5  91.6   5752 1347.293
1218484877 2018-08-16 20:00:59  22.62   47.6   70.2   93.1  116.0   71.9   84.5   97.8  110.2  59.5  91.7   5754 1347.335
1218488477 2018-08-16 21:00:59  22.67   47.6   70.2   93.2  116.2   71.5   84.3   97.7  110.2  59.4  91.8   5756 1347.377
1218492077 2018-08-16 22:00:59  22.71   47.6   70.3   93.3  116.3   71.2   84.1   97.6  110.3  59.3  91.8   5758 1347.418
1218495677 2018-08-16 23:00:59  22.75   47.6   70.3   93.4  116.4   70.9   83.9   97.6  110.3  59.2  91.9   5760 1347.460
1218499277 2018-08-17 00:00:59  22.79   47.6   70.4   93.5  116.6   70.6   83.6   97.5  110.4  59.1  91.9   5762 1347.502
1218502877 2018-08-17 01:00:59  22.83   47.6   70.4   93.6  116.7   70.3   83.4   97.4  110.4  59.1  92.0   5764 1347.543
1218506477 2018-08-17 02:00:59  22.87   47.5   70.5   93.7  116.8   70.0   83.2   97.3  110.4  59.0  92.0   5766 1347.585
1218510077 2018-08-17 03:00:59  22.92   47.5   70.5   93.8  117.0   69.7   83.0   97.2  110.5  58.9  92.1   5768 1347.627
1218513677 2018-08-17 04:00:59  22.96   47.5   70.6   93.8  117.1   69.4   82.8   97.1  110.5  58.8  92.1   5770 1347.668
1218517277 2018-08-17 05:00:59  23.00   47.5   70.6   93.9  117.2   69.1   82.6   97.0  110.6  58.7  92.1   5772 1347.710
1218520877 2018-08-17 06:00:59  23.04   47.5   70.7   94.0  117.3   68.8   82.4   96.9  110.6  58.6  92.2   5774 1347.752
1218524477 2018-08-17 07:00:59  23.08   47.5   70.7   94.1  117.5   68.5   82.2   96.8  110.6  58.5  92.2   5776 1347.793
1218528077 2018-08-17 08:00:59  23.12   47.5   70.8   94.2  117.6   68.2   82.0   96.7  110.7  58.4  92.2   5778 1347.835
1218531677 2018-08-17 09:00:59  23.17   47.5   70.8   94.3  117.7   67.9   81.8   96.6  110.7  58.3  92.2   5780 1347.877
1218535277 2018-08-17 10:00:59  23.21   47.6   70.9   94.4  117.9   67.6   81.6   96.5  110.8  58.2  92.2   5782 1347.918
1218538877 2018-08-17 11:00:59  23.25   47.6   70.9   94.5  118.0   67.2   81.3   96.4  110.8  58.0  92.2   5784 1347.960
1218542477 2018-08-17 12:00:59  23.29   47.6   71.0   94.6  118.1   66.9   81.1   96.3  110.8  57.9  92.2   5786 1348.002
1218546077 2018-08-17 13:00:59  23.33   47.6   71.1   94.7  118.2   66.6   80.9   96.2  110.8  57.8  92.2   5788 1348.043
1218549677 2018-08-17 14:00:59  23.37   47.6   71.1   94.7  118.3   66.3   80.7   96.1  110.9  57.7  92.2   5790 1348.085
1218553277 2018-08-17 15:00:59  23.42   47.6   71.2   94.8  118.5   66.0   80.5   96.0  110.9  57.5  92.2   5792 1348.127
1218556877 2018-08-17 16:00:59  23.46   47.7   71.2   94.9  118.6   65.7   80.3   95.9  110.9  57.4  92.2   5794 1348.168
1218560477 2018-08-17 17:00:59  23.50   47.7   71.3   95.0  118.7   65.4   80.1   95.8  111.0  57.3  92.2   5796 1348.210
1218564077 2018-08-17 18:00:59  23.54   47.7   71.4   95.1  118.8   65.1   79.9   95.7  111.0  57.1  92.1   5798 1348.252
1218567677 2018-08-17 19:00:59  23.58   47.8   71.4   95.2  118.9   64.8   79.7   95.7  111.0  57.0  92.1   5800 1348.293
1218571277 2018-08-17 20:00:59  23.62   47.8   71.5   95.3  119.1   64.5   79.5   95.6  111.0  56.9  92.1   5802 1348.335
1218574877 2018-08-17 21:00:59  23.67   47.8   71.6   95.4  119.2   64.2   79.3   95.5  111.1  56.7  92.0   5804 1348.377
1218578477 2018-08-17 22:00:59  23.71   47.9   71.6   95.5  119.3   63.9   79.1   95.4  111.1  56.6  92.0   5806 1348.418
1218582077 2018-08-17 23:00:59  23.75   47.9   71.7   95.6  119.4   63.7   78.9   95.3  111.1  56.4  91.9   5808 1348.460
1218585677 2018-08-18 00:00:59  23.79   48.0   71.8   95.7  119.5   63.4   78.7   95.2  111.1  56.2  91.9   5810 1348.502
1218589277 2018-08-18 01:00:59  23.83   48.0   71.9   95.7  119.6   63.1   78.5   95.1  111.2  56.1  91.8   5812 1348.543
1218592877 2018-08-18 02:00:59  23.87   48.1   71.9   95.8  119.7   62.8   78.3   95.0  111.2  55.9  91.7   5814 1348.585
1218596477 2018-08-18 03:00:59  23.92   48.1   72.0   95.9  119.8   62.5   78.1   94.9  111.2  55.8  91.6   5816 1348.627
1218600077 2018-08-18 04:00:59  23.96   48.2   72.1   96.0  119.9   62.2   77.9   94.8  111.2  55.6  91.6   5818 1348.668
1218603677 2018-08-18 05:00:59  24.00   48.2   72.2   96.1  120.1   61.9   77.7   94.7  111.2  55.4  91.5   5820 1348.710
1218607277 2018-08-18 06:00:59  24.04   48.3   72.3   96.2  120.2   61.6   77.5   94.6  111.2  55.2  91.4   5822 1348.752
1218610877 2018-08-18 07:00:59  24.08   48.4   72.3   96.3  120.3   61.3   77.3   94.5  111.2  55.1  91.3   5824 1348.793
1218614477 2018-08-18 08:00:59  24.12   48.5   72.4   96.4  120.4   61.0   77.1   94.3  111.3  54.9  91.2   5826 1348.835
1218618077 2018-08-18 09:00:59  24.17   48.5   72.5   96.5  120.5   60.7   76.9   94.2  111.3  54.7  91.1   5828 1348.877
1218621677 2018-08-18 10:00:59  24.21   48.6   72.6   96.6  120.6   60.4   76.7   94.1  111.3  54.5  91.0   5830 1348.918
1218625277 2018-08-18 11:00:59  24.25   48.7   72.7   96.7  120.7   60.1   76.5   94.0  111.3  54.3  90.9   5832 1348.960
1218628877 2018-08-18 12:00:59  24.29   48.8   72.8   96.8  120.8   59.8   76.2   93.9  111.3  54.1  90.7   5834 1349.002
1218632477 2018-08-18 13:00:59  24.33   48.9   72.9   96.9  120.9   59.5   76.0   93.8  111.3  53.9  90.6   5836 1349.043
1218636077 2018-08-18 14:00:59  24.37   49.0   73.0   97.0  121.0   59.2   75.8   93.7  111.3  53.7  90.5   5838 1349.085
1218639677 2018-08-18 15:00:59  24.42   49.1   73.1   97.1  121.1   58.9   75.6   93.6  111.3  53.5  90.3   5840 1349.127
1218643277 2018-08-18 16:00:59  24.46   49.2   73.2   97.2  121.1   58.6   75.4   93.5  111.3  53.3  90.2   5842 1349.168
1218646877 2018-08-18 17:00:59  24.50   49.3   73.3   97.2  121.2   58.3   75.2   93.4  111.3  53.1  90.0   5844 1349.210
1218650477 2018-08-18 18:00:59  24.54   49.4   73.4   97.3  121.3   58.0   75.0   93.3  111.3  52.9  89.9   5846 1349.252
1218654077 2018-08-18 19:00:59  24.58   49.5   73.5   97.4  121.4   57.8   74.8   93.2  111.3  52.6  89.7   5848 1349.293
1218657677 2018-08-18 20:00:59  24.62   49.6   73.6   97.5  121.5   57.5   74.6   93.1  111.3  52.4  89.5   5850 1349.335
1218661277 2018-08-18 21:00:59  24.67   49.7   73.7   97.6  121.6   57.2   74.4   93.0  111.3  52.2  89.4   5852 1349.377
1218664877 2018-08-18 22:00:59  24.71   49.9   73.8   97.7  121.7   56.9   74.2   92.8  111.3  52.0  89.2   5854 1349.418
1218668477 2018-08-18 23:00:59  24.75   50.0   73.9   97.8  121.8   56.6   74.0   92.7  111.3  51.7  89.0   5856 1349.460
1218672077 2018-08-19 00:00:59  24.79   50.1   74.0   97.9  121.8   56.3   73.8   92.6  111.2  51.5  88.8   5858 1349.502
1218675677 2018-08-19 01:00:59  24.83   50.3   74.1   98.0  121.9   56.0   73.6   92.5  111.2  51.3  88.6   5860 1349.543
1218679277 2018-08-19 02:00:59  24.87   50.4   74.2   98.1  122.0   55.7   73.4   92.4  111.2  51.0  88.4   5862 1349.585
1218682877 2018-08-19 03:00:59  24.92   50.6   74.4   98.2  122.1   55.4   73.2   92.3  111.2  50.8  88.2   5864 1349.627
